번호,용어,설명
263,매출액증가율 ,전년도 매출액에 대한 당해년도 매출액의 증가율로서 기업의 외형적 신장세를 판단하는 대표적인 지표이다. 경쟁기업보다 빠른 매출액증가율은 결국 시장점유율의 증가를 의미하므로 경쟁력 변화를 나타내는 척도의 하나가 된다.
264,매출원가 ,"매출을 실현하기 위한 생산이나 구매과정에서 발생된 상품과 서비스의 소비액 및 기타 경비를 말한다.
매출원가(판매업)=기초상품재고액+당기상품매입액-기말상품재고액
·매출원가(제조업)=기초제품재고액+당기제품매제조원가-기말제품재고액"
265,매출원가 대 매출액 ,매출액중 매출원가가 차지하는 비중을 나타내는 비율로서 기업원가율 또는「마진」율을 측정하는 지표이다.
266,매출채권,"매출채권은 일반적인 상거래에서 발생한 채권으로 외상매출금과 받을어음이 있다. 외상매출금은 상품, 제품, 원료 등 영업의 주거래대상인 물품 또는 이에 준하는 것을 신용판매하거나 임가공 등 용역제공에 의해 발생하는 영업상의 미수채권을 말한다. 받을어음은 상품 및 제품의 매출에 대한 대가로 받은 타인발행의 약속어음 또는 타인지급의 환어음 등과 같이 일반적인 상거래에서 발생한 상업어음만 계상되며, 융통어음은 단기대여금으로 계상된다. 또한 매출채권은 대손충당금, 할인어음 및 배서어음을 차감한 금액으로 표시한다."
267,매출채권 대 매입채무 ,기업간 신용관계를 나타내는 매출채권과 매입채무를 대비시킨 것으로 기업의 자금관리에 중요한 지표로 이용된다. 이 비율이 높을수록 기업의 유동비율은 높게 나타나지만 매출채권의 과다한 보유는 오히려 자금사정의 악화를 초래하는 요인이 될 수도 있다.
268,매출채권처분손실 ,매출채권처분손실은 외상매출금을 양도하거나 받을어음을 할인하면서 지불하는 수수료나 할인료로 처리하는 금액을 말한다.
269,매출채권회전율 ,매출채권의 현금화 속도를 측정하는 비율로서 매출액을 매출채권으로 나누어서 구한다. 이 비율이 높을수록 매출채권의 현금화 속도가 빠르다는 것을 의미하고 비율이 낮으면 매출채권의 회수기간이 길어지므로 그에 따른 대손발생의 위험이 증가하고 수익감소의 원인이 된다.
270,매출총이익,"매출액에서 매출원가를 차감한 잔액을 말하며, 매출원가가 매출액을 초과하는 경우에는 그 차액을 매출총손실로 표시한다.
· 매출총이익 = 매출액 - 매출원가"
271,매출총이익률,매출총이익(매출액-매출원가)을 매출액으로 나눈 비율로 기업의 경비와 이익의 근본이 되는 수익성지표이다. 매출총이익률은 일반적인 판단기준으로서의 일정한 표준비율은 없고 업종과 규모에 따라 약간의 차이는 있으나 이 비율이 높을수록 기업의 판매·제조 또는 매입활동이 양호하였음을 의미한다.
272,멀티미디어,"멀티미디어는 CD-ROM이나 웹 페이지처럼 동시에 한 개 이상의 표현매체가 사용된 것을 말한다. 멀티미디어는 텍스트와 사운드 그리고 동영상 등이 어우러져 사용되는 것을 일컫는 용어이다. 어떤 사람들은 애니메이션이 되는 이미지, 즉 웹 상에서의 animated GIF와 같은 것들을 추가하는 것이 곧 멀티미디어라고 말하고 있지만, 그러나 멀티미디어란 대체로 아래에 나열된 것들 중 하나를 의미한다.
ⓐ텍스트와 사운드
ⓑ텍스트, 사운드, 이미지, 또는 애니메이션 되는 그래픽 이미지
ⓒ텍스트, 사운드, 비디오 이미지
ⓓ비디오, 사운드
ⓔ여러 개의 표현 공간, 이미지 또는 동시에 제공되는 공연생방송 상황에서는, 스피커 사용 또는 사운드, 이미지 동영상, 그 외에 연기자와 소도구 담당자 등"
273,명목GDP,한 나라 안에서 생산된 최종생산물을 그 생산물이 생산된 기간 중의 가격을 적용하여 계산한 것으로 경상가격 GDP라고도 한다.
274,명목금리,명목금리는 돈의 가치변동(물가)을 고려하지 않고 이자를 원금으로 나누어 계산한 화폐금리
275,명목보유손익,"실물자산의 가격 상승이나 하락에 의한 평가 이익 혹은 손실을 말한다. 즉, 경제주체 사이의 거래가 아닌 자산 가격 상승으로 발생한 자산 또는 부채의 증가분(감소분) 또는 감소분(증가분)을 의미한다."
276,명목소득," 측정하는 시점의 화폐 금액으로 표시한 소득으로 물가의 변동에 따라 영향을 많이 받는다. 경제규모, 1인당 국민소득, 경제구조 등을 파악하는 데 주로 이용된다."
277,모기업,"법적으로는 독립되어 있으나 자본, 혈연관계 등에 의하여 내면적으로 결합된 2개이상의 기업군 중 지도적(지배적) 지위에 있는 기업을 말한다"
278,모수,"모집단의 특성을 나타내는 양적인 측도를 모수라고 한다. 모수는 주어진 모집단의 고유한 상수로서 모평균, 모분산, 모비율 등이 있다"
279,모아비,"가임연령(15∼49세)의 여자인구에 대한 0∼4세의 유아인구비를 나타낸 것이다.출생력을 측정하는 직접적인 방법은 아니지만 출생 신고 자료를 얻기 어려울 경우에 많이 사용되는 간접적인 측정방법이다. 한 시점의 가임기 여성과 4세 이하의 영,유아를 직접 비교함으로써 출생수준평가에 대신하는 것이다. "
280,모집단,"어떤 정보를 얻기 위해서 연구대상으로 된 집단 전체를 뜻하는 통계학적 용어이다. 어떤 집단을 통계적으로 관찰하여 평균이나 분산 등을 조사할 때, 관찰의 대상이 되는 집단 전체를 조사하는 것이 여러 가지 이유로 어려울 경우에, 전체에서 일부를 추출하여 그것을 조사함으로써 전체의 성질을 추정하는 방법을 취한다. 이런 경우 원래의 집단 전체를 모집단이라 하고, 추출된 일부를 표본이라고 한다. "
281,무급가족종사자,동일가구 내에 살고 있는 혈연관계인 가족이 운영하는 개인사업체에 정기적인 보수(즉 작업량에 따라 지불하기로 약정한 임금과 급료)없이 적어도 정상작업시간(상시 종사자의 대부분에게 적용되는 작업시간)의 1/3이상을 작업한 사람을 말한다.
282,무역수지,"일정기간 중 우리 나라의 상품수출과 상품수입의 차이를 나타내는 것으로 수출입 모두 F.O.B 가격(본선인도가격, free on board)으로 계상된다. 거주자와 비거주자간의 소유권 변동을 수반하는 모든 동산거래도 포함된다."
283,무역외수지,"일정기간 중 우리나라 거주자가 비거주자에게 서비스를 제공하고 받은 대가와 거주자가 비거주자로부터 서비스를 제공받고 지급한 대가와의 차이로 운임 및 보험, 여행, 투자수익 등이 있다"
284,무역장벽,"무역에 참가하는 모든 국가들은 각국간의 자유로운 무역을 통해 상호 이익을 얻을 수 있는 것으로 알려져 있다. 그러나 각국이 처한 경제적 여건, 사회적 상황 등에 따라 때로는 국별로 자유무역에 대한 제한 조치를 취하게 된다. 이처럼 각국간의 자유로운 무역을 제한하는 인위적인 모든 정책을 통틀어서 무역장벽이라고 한다. 이러한 무역장벽은 크게 “관세”와 “비관세무역장벽”으로 구분할 수 있다.

우선 관세는 대부분의 경우 자국으로 수입되는 제품에 대해 부과하는 세금을 지칭한다. 이러한 관세가 변형되어 적용되는 다른 형식으로는 관세할당제, 반덤핑관세, 상계관세 등이 있다. 관세할당제는 일정 수입량까지는 낮은 관세율을 적용하고 그 이상 수입되는 수량에 대해서는 높은 세율의 관세를 적용하는 다단계 관세부과제도이다. 반덤핑관세는 수출국이 원가 이하의 낮은 가격으로 제품을 수출할 때 수입국에서 수입품에 대해 덤핑폭 이상의 고율 관세를 부과하는 관세이다. 상계관세는 수출국 정부가 수출제품의 가격을 낮추기 위해 수출보조금을 지급하는 경우 수입국 정부가 이를 상쇄하여 수입품 가격을 정상수준으로 돌려놓기 위해 부과하는 관세를 말한다.

한편 비관세무역장벽의 대표적인 수단으로는 수량할당(Quota), 수출자율규제, 긴급수입제한조치(Safeguard) 등이 있다. 수량할당은 수입국 정부가 특정 수입제품에 대해 일정 양 이상의 수입을 허용하지 않는 정책이다. 수출자율규제는 수입국이 수출국에 압력을 가하여 수출국이 자율적으로 수출량을 제한토록 하는 조치를 말한다. 긴급수입제한조치는 수입급증으로 국내산업이 심각한 피해를 입을 우려가 있다고 판단될 때 수입국이 해당 품목의 수입을 규제하거나 특별관세를 부과하는 조치이다.

이러한 무역장벽은 공통적으로 수입품의 시장진입을 제한함으로써 가격을 상승시키고, 수입품에 대한 수요감소를 유발하여 관련 국내산업을 보호하는 효과가 있다. 그러나 한 국가가 무역장벽을 쌓게 되면 다른 국가의 무역장벽 강화 정책을 유발하게 되어 결국 국가간의 상호 무역보복에 직면하게 된다. 그 결과 국가간 무역은 위축되고, 무역장벽이 강화되기 전보다 국민들의 삶의 질이 악화될 가능성이 커진다.

이러한 문제점을 인식한 세계 각국은 1947년 “관세와 무역에 관한 일반협정(GATT)”을 체결하였고 이후 지속적인 다자간 협상 끝에 1995년 세계무역기구(WTO)를 출범시켰다. 세계무역기구는 무역장벽과 같은 각국의 불공정 무역관행에 대한 규제 등을 통해 자유무역을 확대시키는 것을 주요 목표로 하고 있다."
285,무역지수,"수출입의 변동은 금액이 얼마나 증가 또는 감소하였는가 하는 것으로 쉽게 파악할 수 있다. 이러한 변동은 가격의 변동에 의해 발생하기도 하고 물량의 증감에 의해 발생하기도 하므로 수출입금액의 변동을 가격요인과 물량요인으로 나누어 파악해 보기 위해 작성되는 것이 무역지수이다.
무역지수에는 수출입 금액의 변동을 나타내는 수출입금액지수, 수출입 가격의 변동을 나타내는 수출입물가지수, 수출입 물량의 변동을 나타내는 수출입물량지수가 있다"
286,무임승차,"사전적인 의미로 무임승차란 정당한 요금을 지불하지 않고 차량에 탑승하는 행위를 지칭하는 말이다. 그런데 경제적인 의미로는 재화나 서비스가 제공하는 혜택에 상응하는 대가를 지불하지 않고 해당 재화나 서비스를 이용하는 행위를 “무임승차”라고 부른다.

일반적인 재화나 서비스를 소비하여 혜택을 누리고자 할 경우에 소비자는 이에 상응하는 대가를 지불해야 한다. 즉 소비자 자신이 재화나 서비스에 대해 진정으로 느끼는 가치를 표현해야 해당 재화나 서비스를 소비할 수 있는 것이다. 예를 들어 어떤 소비자가 사과 1개를 500원을 주고 샀다면 이 사람은 사과 한 개에 대해 적어도 500원 이상의 가치를 느끼고 있다고 말할 수 있다. 만약 사과를 구입하는 이 소비자가 사과를 원하지 않는다고 말하더라도 자신에게 어떠한 이득도 발생하지 않는다. 따라서 일반적인 재화나 서비스의 경우에는 무임승차 현상이 나타나기 어렵다.

그런데 다리, 치안 등과 같은 공공재의 경우에는 배제불가능성을 지니고 있어 무임승차 현상이 발생한다. 예를 들어 마을 앞의 개천에 다리를 놓는 경우를 생각해보자. 마을사람들은 다리건설에 들어가는 재원을 마련하기 위해 각자 자신이 진정으로 느끼는 가치만큼을 부담하기로 했다. 그리고 일단 다리가 건설되면 얼마를 지불했느냐와 관계없이 누구나 다리를 이용할 수 있다. 따라서 이러한 사실을 알고 있는 마을사람들 대부분은 자신이 느끼는 가치보다도 적은 가치만을 표현할 가능성이 높다. 이처럼 공공재의 경우에는 사람들이 공공재로부터 느끼는 진정한 가치를 표현하지 않고 이를 이용하려는 무임승차 현상이 발생하게 된다.

따라서 공공재를 일반적인 재화나 서비스처럼 시장에 맡겨서 자율적으로 생산되도록 한다면 무임승차 문제로 인해 결국 사회적으로 필요한 공공재가 과소 공급될 가능성이 있다. 이러한 문제점을 방지하기 위해 전통적으로 국가가 국민들로부터 세금을 걷어 공공재를 공급해 왔다."
